Zip Code,City,Primary Zone,Zone 1 (%),Zone 2 (%),Zone 3 (%),Zone 4 (%),Total Housing Units,Single-Family Detached,% Single-Family Detached,Other Dwellings,% Other,Median Household Income
75215,Unknown,2,0.0,0.6,99.4,0.0,8487,4381,51.6,4106,48.4,39486.0
76247,Justin,2,0.0,0.3,99.3,0.4,5846,5059,86.5,787,13.5,107405.0
75043,Garland,2,0.0,0.1,99.9,0.0,23276,14905,64.0,8371,36.0,72079.0
76002,Arlington,3,0.0,0.0,100.0,0.0,9820,9544,97.2,276,2.8,102369.0
75088,Rowlett,3,0.0,0.0,100.0,0.0,9822,8437,85.9,1385,14.1,101995.0
76013,Arlington,3,0.0,0.0,100.0,0.0,14211,8015,56.4,6196,43.6,64585.0
75094,Unknown,3,0.0,0.0,100.0,0.0,6441,6231,96.7,210,3.3,152461.0
75180,Unknown,3,0.0,0.0,100.0,0.0,8776,5928,67.5,2848,32.5,57827.0
75115,DeSoto,3,0.0,0.0,100.0,0.0,21644,15695,72.5,5949,27.5,81895.0
76017,Arlington,3,0.0,0.0,100.0,0.0,16804,12847,76.5,3957,23.5,89930.0
76014,Arlington,3,0.0,0.0,100.0,0.0,11263,6639,58.9,4624,41.1,60894.0
76114,Unknown,3,0.0,0.0,100.0,0.0,10695,7029,65.7,3666,34.3,63454.0
76127,Unknown,3,0.0,0.0,100.0,0.0,77,15,19.5,62,80.5,103971.0
76164,Unknown,3,0.0,0.0,100.0,0.0,4900,4054,82.7,846,17.3,52691.0
76103,Unknown,3,0.0,0.0,100.0,0.0,5996,4595,76.6,1401,23.4,56641.0
76111,Unknown,3,0.0,0.0,100.0,0.0,8430,6966,82.6,1464,17.4,54884.0
76129,Unknown,3,0.0,0.0,100.0,0.0,0,0,0.0,0,0.0,
76015,Arlington,3,0.0,0.0,100.0,0.0,6969,3656,52.5,3313,47.5,69805.0
75223,Unknown,3,0.0,0.0,100.0,0.0,5036,3603,71.5,1433,28.5,66875.0
75149,Mesquite,3,0.0,0.0,100.0,0.0,20894,16133,77.2,4761,22.8,64858.0
